name,items,retail_value,price,value_ratio
The Australian Women's Weekly,"1x The Australian Women's Weekly Tote Bag $30.00
1x The Australian Women's Weekly Magazine (Current Issue) $8.50
1x Woman's Day Magazine (Current Issue) $5.80
1x Cooking with The Australian Women's Weekly (Current Issue) $10.50
1x Swisse Chlorophyll Spearmint Flavour Superfood Liquid 500ml $28.99
1x L’Oreal Paris Revitalift Laser Ampoules  $49.99
1x Berocca Sport B Vitamins and Electrolytes 14 Powder Sachets 56g $18.49
1x Menz Fru Chocs Milk Chocolate 35g  $1.80
1x Stabilo Flash Highlighter Yellow  $3.00
1x Ferrero Rocher Golden Eggs Milk Original 90g $7.50
1x Poise Regular Liners  26 Pack $4.75
1x Grants of Australia Natural Toothpaste  25g $2.50
1x Ocean Spray Craisins Dried Cranberries 50% Less Sugar 30g $1.79
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x The Healthy Baker Protein Pancake Mix 400g $6.00
1x KEEN'S Meal Base 285g  $3.50
1x Quest Caramel Choc Chunk 60g  $4.80
1x CHANG'S Original Fried Noodles 100g   $1.70
1x CHANG'S Crispy Noodle Salad Dressing Gluten Free 280g $3.00
1x SunRice Crunch 'Ems 6 Pack 120g $4.80
1x Carman's Gourmet Porridge 320g    $6.50
1x Lotus Biscoff Snack Pack 8 x Twin Packs 124g $2.65
1x Vetta Rural Aid Spaghetti 750g  $2.00
1x Kellogg's LCMs 25% Less Sugar Neapolitan Snack Bars 6 Pack $5.00
1x Naked Life Non Alcoholic Drink 250ml   $3.75
1x Kewpie Original + Kewpie Sriracha Sample Pouch  $3.00
1x Kewpie Sesame + Kewpie Sesame Soy Sample Pouch $3.00
2x Somat Excellance 2 in 1 Gel Caps Sample    $2.00
1x OMO Ultimate 3 in 1 Capsule 2 Pack Sample $1.00
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x Hello Fresh $200 Discount Offer   $200.00
1x Fernwood Fitness Offer  $50.00
1x Naked Life Betta Boba Bubble Tea 315ml  $4.50
1x Survey Voucher Offer - Complete our online survey & go in the draw to win $250 cash AND a set of Cookbook and Coffee Table Books from Australian Women’s Weekly, Home Beautiful and Inside Out worth $150. T&Cs apply. See flyer for details. ",490.61,22.0,22.300454545454546
marie claire,"1x marie claire Canvas Tote Bag (Choose Colour - Burgundy or Natural) $40.00
1x marie claire Black Cross Body Bag or Notebook (Choose one) $25.00
1x marie claire Magazine (Current Issue) $8.99
1x WHO Magazine (Current Issue) $5.99
1x Weleda Skin Food Body Lotion 200ml $29.95
1x Klorane 2-in-1 Mask Shampoo Powder with Organic Nettle & Clay Oily Scalp 3g x 8  $25.99
1x Essie Expressie Quick Dry  Nail Polish 10ml $12.95
1x L'ORÉAL PARIS Revitalift Laser Glycolic Pads 30 Pack $44.95
1x Swisse Chlorophyll Spearmint Flavour Superfood Liquid 500ml $28.99
1x L’Oreal Paris Revitalift Filler Ampoules $49.99
1x Clairol Root Touch Up Natural Instinct Hair Colour 35g $16.49
1x Bondi Sands Pure Self Tanning Sleep Mask 10ml  $5.00
1x Berocca Sport B Vitamins and Electrolytes 14 Powder Sachets 56g $18.49
1x Ferrero Rocher Chocolate Gift Box 5 Pack 62.5g  $4.50
1x Ocean Spray Craisins Dried Cranberrries 50% Less Sugar 30g  $1.79
1x Sirena Tuna in Oil (Italian Style) 95g   $2.95
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x Quest Caramel Choc Chunk  60g Bar $4.80
1x Fisherman’s Friend Peppermint Flavour Freshmint 99% Sugar Free 25g  $2.45
1x SunRice Crunch 'Ems 6 Pack 120g $4.80
1x Narciso Rodriguez Eau de Parfum Sample   $2.50
1x Naked Life Non Alcoholic Drink 250ml   $3.75
1x Kewpie Original + Kewpie Sriracha Sample Pouch  $3.00
1x Kewpie Sesame + Kewpie Sesame Soy Sample Pouch $3.00
2x Somat Excellance 2 in 1 Gel Cap Samples    $2.00
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x Naked Life Sparkling Nootropics 250ml  $2.50
1x Uncommon.Social $20 Off  Voucher Online  $20.00
1x Hello Fresh $200 Discount Offer   $200.00
1x U by Kotex Thinx Reuseable Period Undies 1 Pair $25.00
1x NPathy Heal Better Feel Better Flyer   
1x Survey Voucher Offer - Complete our online survey to go into draw and win $500 cash or prize pack. T&Cs apply. See voucher for details. ",605.62,30.0,20.187333333333335
Better Homes and Gardens,"1x Better Homes and Gardens Canvas Tote Bag (Choose Colour - Burnt Orange or Dusty Rose) $35.00
1x Choose One: Better Homes and Gardens Bamboo Serving Board OR  Mug Set  $40.00
1x Better Homes and Gardens Magazine (Current Issue) $7.50
1x Australian House and Garden Magazine (Current Issue) $8.99
1x Australian Country Style Magazine (Current Issue) $8.99
1x L’Oreal Paris Revitalift Laser Ampoules  $49.99
1x Menz Fru Chocs Milk Chocolate 35g $1.80
1x Northfork Hand Sanitiser Gel Aloe 500ml $8.29
1x Ocean Spray Craisins Dried Cranberries 50% Less Sugar 30g $1.79
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x KEEN'S Meal Base 285g  $3.50
1x Quest Caramel Choc Chunk 60g $4.80
1x SunRice Crunch 'Ems 6 Pack 120g $4.80
1x Lotus Biscoff Snack Pack 8x2 Packs 124g $2.65
1x Vetta Rural Aid Spaghetti 750g $2.00
1x Kellogg's LCMs 25% Less Sugar Neapolitan Snack Bars 6 Pack $5.00
2x Somat Excellance 2 in 1 Gel Caps Sample $2.00
1x OMO Ultimate 3 in 1 Capsule  Sample 2 Pack $1.00
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x NAKED LIFE Non-Alcoholic Wimbledon Spritz  250ml $3.75
1x Blue Diamond Almond Breeze Unsweetened Vanilla Flavoured Almond Milk 1 Litre   $3.60
1x Hello Fresh $200 Discount Offer   $200.00
1x Hillmark Leather Kleen Cleaning Wipes 20 Pack $6.39
2x WORTH Macadamia with Roasted Cashew & Peanuts Bar 40g      $3.50
1x Survey Voucher Offer - Complete our online survey to go into draw and win $500 cash or prize pack. T&Cs apply. See voucher for details. ",418.64,30.0,13.954666666666666
Stella Athletic (Autumn),"1x Stella Athletic Neoprene Tote Bag (Choose Colour - Black or Dusty Pink) $60.00
1x Stella Athletic Yoga Singlet (Choose Size - S/M or M/L) $40.00
1x Stella Athletic Black Cap $25.00
1x Choose One: Water Bottle or Resistance Bands (Pair of 2) $30.00
1x Berocca Sport B Vitamins and Electrolytes 14 Powder Sachets 56g $18.49
1x U by Kotex Designer Series Ultrathins with Designs Regular Pads with Wings 12 Pack $4.90
1x Ocean Spray Craisins Dried Cranberries 50% Less Sugar 30g $1.79
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x Vetta SMART Protein Spirals Pasta 125g  $1.50
1x Quest Caramel Choc Chunk Bar 60g  $4.80
1x Fisherman’s Friend Peppermint Flavour Freshmint 99% Sugar Free 25g  $2.45
1x CHANG'S Crispy Noodle Salad Dressing Gluten Free 280g $3.00
1x Drop d’Issey Eau De Parfum Fraiche Sample  $2.50
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x NAKED LIFE Sparkling Mineral Water Nootropics FOCUS Mixed Berries 250ml  $2.50
1x NAKED LIFE Non Alcoholic Espresso Martini 200ml $3.75
1x Hello Fresh $200 Discount Offer   $200.00
1x U by Kotex Thinx Reuseable Period Undies 1 Pair   $25.00
1x Survey Voucher Offer - Complete our online survey to go into draw and win $500 cash or prize pack. T&Cs apply. See voucher for details. ",433.48,32.0,13.54625
Stella Athletic (Spring),"1x Stella Athletic Neoprene Tote Bag (Choose Colour - Black or Stone) $60.00
1x Stella Athletic Ribbed Tank Top (Choose Colour - Sage or White  and Size  - S/M or M/L)  $40.00
1x Stella Athletic Stainless Steel Bottle OR Yoga Block and  Strap Set (Choose one) $30.00
1x Stella Athletic Lilac Cap or Elastic Headband Set (Choose one) $25.00
1x Berocca Sport B Vitamins and Electrolytes 14 Powder Sachets 56g $18.49
1x U by Kotex Designer Series Ultrathins with Designs Regular Pads with Wings 12 Pack $4.90
1x Ocean Spray Craisins Dried Cranberries 50% Less Sugar 30g $1.79
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x Vetta SMART Protein Spirals Pasta 125g  $1.50
1x Quest Caramel Choc Chunk Bar 60g $4.80
1x Fisherman’s Friend Peppermint Flavour Freshmint 99% Sugar Free 25g  $2.45
1x CHANG'S Crispy Noodle Salad Dressing Gluten Free 280g $3.00
1x Drop d’Issey Eau De Parfum Fraiche Sample  $2.50
1x U by Kotex Thinx Reuseable Period Undies 1 Pair   $25.00
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x Hello Fresh $200 Discount Offer   $200.00
1x Naked Life Sparkling Nootropics 250ml  $2.50
1x NAKED LIFE Non Alcoholic Espresso Martini 200ml $3.75
1x Survey Voucher Offer - Complete our online survey to go into draw and win $500 cash or prize pack. T&Cs apply. See voucher for details. 
1x *Please note: Showbag contents may change, please check at point of purchase. Offers may require a minimum spend. Check out chicaneshowbags.com.au for more info. ",433.48,35.0,12.385142857142858
Tasty,"1x Tasty Picnic Cooler Bag $40.00
1x Tasty Apron $25.00
1x Tasty Kitchen Tin with Bamboo Lid $20.00
1x ColourHide Notebook Lecture 200pg $13.75
1x Sirena Tuna in Oil (Italian Style) 95g   $2.95
1x Sun Harvest Freshly Squeezed Lemon or Lime Juice 200mL $4.00
1x Ocean Spray Craisins Dried Cranberries 50% Less Sugar 30g  $1.79
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x Byron Bay Cookies Milk Choc Chunk Cookie Bites 25g $2.00
1x KEEN'S Meal Base 285g  $3.50
1x Quest Caramel Choc Chunk Bar 60g $4.80
1x CHANG'S Original Fried Noodles 100g   $1.70
1x Northfork Hand Sanitiser Gel 500ml $6.60
1x Somat Rinser & Drying Booster 500ml  $8.00
1x SunRice Crunch 'Ems 6 pack 120g $4.80
1x Kellogg's LCMs 25% Less Sugar Neapolitan Snack Bars 6 Pack $5.00
1x Kewpie Original + Kewpie Sriracha Sample Pouch  $3.00
1x Kewpie Sesame + Kewpie Sesame Soy Sample Pouch $3.00
2x Somat Excellance 2 in 1 Gel Cap Sample    $2.00
1x Bondi Chai Club Cinnamon, Vanilla Honey, Ginger n Spice Sampler Pack 3 x 15g $2.00
1x OMO Ultimate 3 in 1 Capsule Sample 2 Pack $2.00
1x Tabasco Mini  $3.00
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x Nomo Creamy Chocolate Block 85g - Dairy, Gluten, Egg & Nut Free  $4.95
1x NAKED LIFE Non Alcoholic Margarita 250ml $3.75
1x NAKED LIFE Original Betta Bobo Milk Bubble Tea Can 315ml $4.50
1x Blue Diamond Almond Breeze Unsweetened Vanilla Flavoured Almond Milk 1 Litre   $3.60
1x The No Nasties Project 50% Less Sugar Cereal 285g $6.40
1x Hello Fresh $200 Discount Offer   $200.00",391.89,32.0,12.2465625
Men's Style,"1x Men’s Style Canvas Duffle Bag   $40.00
1x Men’s Style Canvas Toiletry Bag  $30.00
1x Men’s Style Cap or Beanie (Choose one)  $25.00
1x Men's Style Brown Belt (Choose size - S/M or M/L) $25.00
1x Violet Crumble Milk Bar  50g $2.00
1x Ocean Spray Craisins Dried Cranberrries 50% Less Sugar 30g  $1.79
1x Aqium Ultra Antibacterial Hand Sanitiser 60ml $3.60
1x Quest Caramel Choc Chunk  Bar 60g $4.80
1x Fisherman’s Friend Peppermint Flavour Freshmint 99% Sugar Free 25g  $2.45
1x CHANG'S Original Hoisin Sauce Gluten Free 280ml $4.50
1x Bvlgari Man Terrae Essence Sample  $2.50
1x Naked Life Non Alcoholic Drink 250ml   $3.75
1x Kewpie Original + Kewpie Sriracha Sample Pouch  $3.00
1x Kewpie Sesame + Kewpie Sesame Soy Sample Pouch $3.00
2x Somat Excellance 2 in 1 Gel Cap Sample $2.00
1x OMO Ultimate 3 in 1 Capsule 2 Pack Sample  $1.00
1x Calbee Harvest Snaps Baked Pea Crisps Original Salted Flavour 18g  $4.20
1x Naked Life Sparkling Nootropics 250ml  $2.50
1x Berocca Sport B Vitamins and Electrolytes 14 Powder Sachets 56g $18.49
1x NAKED LIFE non alcoholic Australian Cane and Cola 250ml $3.75
1x Hello Fresh $200 Discount Offer   $200.00",385.33,32.0,12.0415625
Rural Aid - For Our Mates In the Bush,"1x Rural Aid Carry All Tote Bag  $16.95
1x Aqium Hand Sanitiser 60ml $2.99
1x Wiltshire 2 in 1 Clip and Pourer $8.00
1x The Kind Harvest Flour 1kg  $2.70
1x White Glo Professional Choice 24g $2.99
1x Ocean Spray Craisins  $2.00
1x Ka Pod Anti Dust Mites Laundry Capsule  $2.00
1x Ar Fum 5in1 Amore Laundry Capsule  $2.00
1x Ar Fum 5in1 Eternal Laundry Capsule  $2.00
1x Natio Daily Defence Face Moisturiser SPF50+ 20ml $4.00
1x Chang's Crunchy Fried Noodles  $1.70
1x Keen's Coconut Lentil Curry Meal Base $3.50
1x Vittoria Long Black Coffee Bag  $0.45
1x Vittoria Italian Coffee Bag  $0.45
1x SunRice Microwave Rice Cup  $2.40
1x Vetta Rural Aid Pasta 500g $2.25
1x Golden Circle Refreshers 1L  $3.50
1x Naked Life Non-Alcholic Margarita 250ml  $3.75
1x Pet Circle www.petcircle.com.au Discount Voucher  $15.00
1x Dinnerly www.dinnerly.com.au Discount Voucher  $100.00
1x Domino's Discount Voucher  $2.00
**Proud to support farming communities with a percentage of each bag sale donated to Rural Aid** ",180.63,18.0,10.035
Mega Showbag,"1x 10pc pack Sour Strap Bites 242g $7.00
Choice of one of the following Novelties 
1x Large Battery Operated Soft Bullet Gun (sell price  $35) $50.00
1x Motion Sensing 4WD Stunt Car with Lights and Sound (sell price $50) $90.00
1x Large R/C Walking Dinosaur with Light and Sound (sell price $30) $50.00
1x R/C Escavator Truck (sell price $30) $60.00
1x R/C Racing car (sell price $30) $40.00",297.0,30.0,9.9
Women's Health magazine,"1x Women's Health magazine  $9.90
1x Women's Health Gym Bag (choice of two colours)  $32.95
1x Women's Health Stainless Steel Single Wall Bottle 500ml  $14.95
1x Dr LeWinn's Ultra R4 Collagen Surge Plumping Gel 30g $74.95
1x Natio Daily Defence Face Moisturiser SPF50+ 20ml  $4.00
1x Fructis Vitamin C & Biotin Shamooo 315ml  $7.49
1x Fructis Vitamin C & Biotin Conditioner  315ml  $7.49
1x Scholl ExpertCare PediMask® Dry Skin $6.95
1x Skin Control Pimple Patch Starter Pack  $2.00
1x Dermal Therapy Sanitising Hand Cream 10ml  $1.00
1x White Glo Professional Choice Toothpaste 24g $2.99
1x Bondi Sands Sport SPF50+ Sunscreen 20ml  $4.95
1x Difflam Soothing Drops Black Elderberry 2pc $0.50
1x Difflam Soothing Drops Eucalyptus Menthol 2pc $0.50
1x Difflam Soothing Drops Honey & Lemon 2pc $0.50
1x SunRice Microwave Rice Cup  $2.40
1x Aquim Hand Sanitiser 60ml  $2.99
1x JellyB Drinkable Konjac Jelly Pouch  $3.65
1x Ar Fum 5in1 Eternal Laundry Capsule  $2.00
1x Chang's Gluten Free Fried Noodles  $1.70
1x Locako Protein Brownie Ball $3.50
1x Naked Life Energise Nootropics 250ml $2.50
1x Dinnerly Discount Voucher  $100.00
1x Bezzie Discount Voucher  $10.00",299.86,32.0,9.370625
